iteration,n10,n20,n30,n50,n100
486,51.694445,48.721878,43.818516,38.053622,30.625811
487,51.694445,48.721878,43.818516,38.053622,30.625811
488,51.694445,48.721878,43.818516,38.053622,30.625811
489,51.694445,48.721878,43.818516,38.053622,30.625811
490,51.694445,48.721878,43.818516,38.053622,30.625811
491,51.694445,48.721878,43.818516,38.053622,30.625811
492,51.694445,48.721878,43.818516,38.053622,30.625811
493,51.694445,48.721878,43.818516,38.053622,30.625811
494,51.694445,48.721878,43.818516,38.053622,30.625811
495,51.694445,48.721878,43.818516,38.053622,30.625811
496,51.694445,48.721878,43.818516,38.053622,30.625811
497,51.694445,48.721878,43.818516,38.053622,30.625811
498,51.694445,48.721878,43.818516,38.053622,30.625811
499,51.694445,48.721878,43.818516,38.053622,30.625811
500,51.694445,48.721878,43.818516,37.328702,30.625811
501,51.694445,48.721878,43.818516,37.328702,30.625811
502,51.694445,48.721878,43.818516,37.328702,30.625811
503,51.694445,48.721878,43.818516,37.328702,30.625811
504,51.694445,48.721878,43.818516,37.328702,30.625811
505,51.694445,48.721878,43.818516,37.328702,30.625811
506,51.694445,48.721878,43.818516,37.328702,30.625811
507,51.694445,48.721878,43.818516,37.328702,30.625811
508,51.694445,48.721878,43.818516,37.328702,30.625811
509,51.694445,48.721878,43.818516,37.328702,30.625811
510,51.694445,48.721878,43.818516,37.328702,30.625811
511,51.694445,48.721878,43.818516,37.328702,30.625811
512,51.694445,48.721878,43.818516,37.328702,30.625811
513,51.694445,48.721878,43.818516,37.328702,30.625811
